start,end,sequence,rank
nodal,petal,nodal modal medal metal petal,0.005921513665031535
wades,facts,wades fades fares farts facts,0.005921513665031535
paces,fasts,paces pacts tacts facts fasts,0.005921513665031535
wales,bales,wales walls falls balls bales,0.005886475122634899
sales,balls,sales wales bales balms balls,0.005851436580238263
stuck,shook,stuck snuck shuck shock shook,0.005851436580238263
spiff,scuff,spiff stiff staff stuff scuff,0.005851436580238262
staff,spiff,staff stuff stiff skiff spiff,0.005851436580238262
freed,creep,freed greed greek creek creep,0.005816398037841627
dutch,hitch,dutch butch hutch hatch hitch,0.0057813594954449895
coils,palls,coils ceils cells calls palls,0.005746320953048354
races,dates,races rakes rates hates dates,0.005746320953048353
crams,clash,crams craps claps class clash,0.005711282410651717
break,creek,break bream cream creak creek,0.005676243868255081
roomy,hooks,roomy rooms looms looks hooks,0.005676243868255081
dhows,shops,dhows shows chows chops shops,0.005606166783461808
cream,tread,cream creak break bread tread,0.005606166783461808
wears,bears,wears dears fears gears bears,0.005571128241065173
charm,whats,charm chars chaos chats whats,0.0055010511562719
natch,hatch,natch watch catch patch hatch,0.005466012613875264
corps,locks,corps coops cooks looks locks,0.005466012613875263
scoot,shock,scoot snoot shoot shook shock,0.005430974071478627
groan,brain,groan grown brown brawn brain,0.005395935529081991
drear,breed,drear dream dread bread breed,0.00539593552908199
largo,munge,largo large marge mange munge,0.005360896986685354
pedal,molas,pedal medal modal molal molas,0.005360896986685354
hosts,lotta,hosts costs costa cotta lotta,0.005325858444288718
calla,mauls,calla calls cauls hauls mauls,0.005325858444288718
shews,seems,shews stews steps stems seems,0.005290819901892082
smack,stork,smack shack shock stock stork,0.005290819901892082
chomp,crime,chomp champ chimp chime crime,0.0052908199018920805
words,perks,words works forks porks perks,0.005255781359495446
firms,piled,firms fires files filed piled,0.00522074281709881
wiled,fired,wiled wired aired mired fired,0.005220742817098809
wonts,dorks,wonts worts words works dorks,0.005185704274702173
guile,built,guile guilt guild build built,0.005150665732305537
tribe,bring,tribe bribe bride brine bring,0.005150665732305536
clown,grows,clown blown brown grown grows,0.005150665732305536
dryad,bream,dryad dread drear dream bream,0.005010511562718991
geeks,seeps,geeks seeks seems seeds seeps,0.005010511562718991
gooks,cools,gooks looks nooks cooks cools,0.005010511562718991
phony,scope,phony phone shone scone scope,0.004975473020322355
stain,trait,stain swain twain train trait,0.004975473020322354
triad,freer,triad tried fried freed freer,0.004870357393132446
looks,goony,looks nooks gooks goons goony,0.0048703573931324455
creed,greet,creed treed greed green greet,0.004835318850735811
trade,craze,trade trace grace graze craze,0.004800280308339173
goers,books,goers doers doors boors books,0.004800280308339173
rally,bails,rally dally bally balls bails,0.004800280308339172
derby,heads,derby herby herbs herds heads,0.004765241765942538
staid,train,staid stain swain twain train,0.004765241765942537
chime,crept,chime crime creme crepe crept,0.0047302032235459
award,scare,award aware sware spare scare,0.004625087596355992
level,sever,level levee lever fever sever,0.0046250875963559914
homes,molls,homes holes roles moles molls,0.004590049053959357
tried,tries,tried trued truer trues tries,0.004590049053959355
rawly,balds,rawly rally bally baldy balds,0.004555010511562719
flout,blood,flout flour floor flood blood,0.004555010511562719
yules,gulls,yules mules rules gules gulls,0.004555010511562719
knock,shock,knock knack snack shack shock,0.004555010511562719
rules,gulls,rules yules gules gulfs gulls,0.004555010511562719
wordy,cards,wordy words lords lards cards,0.004555010511562719
caner,wales,caner canes manes males wales,0.0045199719691660836
casts,porks,casts pasts parts ports porks,0.004379817799579538
levee,repel,levee level bevel revel repel,0.004344779257182902
betel,revel,betel bezel bevel level revel,0.004344779257182902
takes,pales,takes tames tales kales pales,0.004309740714786266
dines,males,dines sines mines miles males,0.004309740714786266
treat,tried,treat treap tread triad tried,0.004274702172389629
guide,elate,guide glide elide elite elate,0.004274702172389629
stand,stunt,stand stank stunk stung stunt,0.004274702172389629
sines,lites,sines sides sites mites lites,0.004239663629992992
shape,shaky,shape share shade shady shaky,0.004204625087596357
inner,enter,inner infer inker inter enter,0.004204625087596356
clink,shock,clink click chick chock shock,0.004099509460406448
hying,thing,hying eying vying tying thing,0.004029432375613175
thing,vying,thing tying hying eying vying,0.004029432375613175
sloth,plash,sloth slosh slash clash plash,0.004029432375613175
thong,vying,thong thing tying eying vying,0.004029432375613175
tough,cough,tough touch vouch couch cough,0.003994393833216539
snake,shave,snake shake shame share shave,0.003994393833216539
warns,needs,warns wards nards nerds needs,0.003959355290819902
pares,barns,pares parts pards bards barns,0.003924316748423267
costa,easts,costa costs casts masts easts,0.003924316748423267
lakes,races,lakes lanes laces maces races,0.00388927820602663
lochs,focus,lochs locos locks locus focus,0.00388927820602663
share,spank,share shark shack shank spank,0.00388927820602663
salty,polls,salty sally pally palls polls,0.0038892782060266293
girly,firth,girly girls girts girth firth,0.0038542396636299936
gilds,gills,gilds girds giros girls gills,0.0038542396636299936
girts,gilds,girts girls giros girds gilds,0.0038542396636299936
dives,gives,dives rives river giver gives,0.003819201121233357
proxy,probe,proxy prosy prose prove probe,0.003784162578836721
gibes,riven,gibes gives giver river riven,0.003784162578836721
quick,suite,quick quirk quire quite suite,0.0037491240364400844
lease,perch,lease pease peace peach perch,0.0037491240364400844
files,ailed,files filer filet filed ailed,0.0037140854940434487
cruds,price,cruds crude prude pride price,0.0037140854940434483
peace,parch,peace peach poach porch parch,0.0037140854940434483
dough,rough,dough tough bough cough rough,0.0036790469516468118
dried,plied,dried tried fried pried plied,0.0036790469516468118
bench,lease,bench beach leach leash lease,0.003644008409250175
duels,reels,duels fuels feels heels reels,0.0036089698668535395
loped,wowed,loped loved lowed vowed wowed,0.0036089698668535395
abled,wiled,abled ailed oiled filed wiled,0.0036089698668535395
filed,abled,filed tiled wiled ailed abled,0.0036089698668535395
rived,ailed,rived riled tiled filed ailed,0.0036089698668535395
sized,rides,sized sizer sizes sides rides,0.003608969866853539
truss,tried,truss trues truer trued tried,0.0035739313244569026
zebus,debit,zebus rebus rebut debut debit,0.0035739313244569026
dolor,homer,dolor donor honor honer homer,0.0035388927820602665
seeds,stews,seeds seers seems stems stews,0.0035388927820602665
spivs,speed,spivs spies spied spued speed,0.0035038542396636308
walls,halls,walls wells hells hills halls,0.00350385423966363
prose,crone,prose probe prone drone crone,0.0034688156972669942
suits,quips,suits suite quite quits quips,0.0034337771548703577
purse,barge,purse purge surge sarge barge,0.003398738612473722
flesh,wroth,flesh fresh frosh froth wroth,0.0033987386124737216
sited,sides,sited sized sizer sizes sides,0.0033987386124737216
alone,drone,alone clone crone prone drone,0.003363700070077086
tower,voter,tower toker toter noter voter,0.003363700070077085
goofs,mules,goofs golfs gulfs gules mules,0.003363700070077085
golfs,yules,golfs gulfs gulps gules yules,0.003363700070077085
sixth,salts,sixth sixty silty salty salts,0.0033286615276804494
needs,seeds,needs needy reedy seedy seeds,0.003328661527680449
prone,price,prone prune prude pride price,0.0032936229852838133
wound,mound,wound bound sound pound mound,0.0032936229852838124
trite,troth,trite write wrote wroth troth,0.0032585844428871767
sabre,table,sabre sable cable fable table,0.003258584442887176
cable,sable,cable table gable fable sable,0.003258584442887176
table,sable,table gable fable cable sable,0.003258584442887176
sweat,sleep,sweat swept slept sleet sleep,0.00322354590049054
jakes,bares,jakes makes sakes bakes bares,0.0032235459004905397
snide,elite,snide slide glide elide elite,0.0032235459004905397
laced,waned,laced faced faked waked waned,0.0032235459004905397
fends,rinds,fends funds finds hinds rinds,0.003188507358093903
basal,fatal,basal nasal naval natal fatal,0.0031534688156972675
faced,waked,faced faded laded waded waked,0.0031534688156972675
hairy,dully,hairy dairy daily dally dully,0.0031184302733006314
prude,pause,prude crude cruse cause pause,0.003118430273300631
snarf,aware,snarf swarf sward award aware,0.003083391730903995
polly,dally,polly dolly doily daily dally,0.003083391730903995
godly,daily,godly golly dolly doily daily,0.003083391730903995
movie,bogie,movie moxie doxie dogie bogie,0.0030833917309039944
agony,stone,agony agone alone atone stone,0.0030483531885073583
cross,grown,cross dross gross grows grown,0.0030483531885073583
aired,limen,aired aimed timed limed limen,0.0030133146461107227
rinds,kinds,rinds winds minds binds kinds,0.0030133146461107227
whirs,whits,whirs whims whams whats whits,0.0030133146461107222
taxed,faced,taxed taxer faxer facer faced,0.0029782761037140857
moves,cover,moves mover hover rover cover,0.0029782761037140857
tomes,voter,tomes tones totes votes voter,0.0029432375613174496
feeds,herds,feeds weeds needs nerds herds,0.0029432375613174496
quire,spits,quire quite suite spite spits,0.0029432375613174496
dryly,gaily,dryly drily doily daily gaily,0.0029432375613174496
hives,rover,hives dives rives river rover,0.0029432375613174496
quirt,build,quirt quilt guilt guild build,0.0029432375613174496
shove,alone,shove stove stone atone alone,0.0029081990189208135
puree,cause,puree purse parse pause cause,0.002908199018920813
boozy,bonks,boozy booty booky books bonks,0.002873160476524177
beaks,means,beaks beans jeans weans means,0.0028731604765241765
reeds,nests,reeds needs nerds nerts nests,0.0028731604765241765
situs,biles,situs sites kites bites biles,0.0028731604765241765
bided,liked,bided aided aimed limed liked,0.002838121934127541
sabra,table,sabra sabre sable fable table,0.002838121934127541
beech,beach,beech leech leach peach beach,0.002838121934127541
oring,brung,oring wring wrong wrung brung,0.002838121934127541
shots,shred,shots shoos shoes shoed shred,0.0028381219341275404
hurry,carry,hurry furry burry curry carry,0.0028030833917309047
peaty,means,peaty meaty mealy meany means,0.0028030833917309043
blats,flock,blats blots blocs block flock,0.0028030833917309043
masse,cruse,masse passe pause cause cruse,0.002733006306937631
helps,heeds,helps heaps heals heads heeds,0.0026979677645409955
grope,crone,grope grove drove drone crone,0.0026979677645409955
slams,heads,slams seams beams beads heads,0.0026278906797477233
agone,score,agone atone stone scone score,0.002627890679747723
skeet,sleet,skeet sweet swept slept sleet,0.0025928521373510868
quest,diest,quest guest goest doest diest,0.0025928521373510868
sheet,sleep,sheet sweet sweep steep sleep,0.0025928521373510863
above,amine,above abode abide amide amine,0.002592852137351086
steps,stove,steps stops stoas stoae stove,0.00255781359495445
decry,relay,decry decoy decay delay relay,0.00255781359495445
terry,harpy,terry tarry carry carpy harpy,0.0025227750525578145
curvy,parry,curvy curly curry carry parry,0.0025227750525578145
screw,throb,screw shrew threw throw throb,0.0025227750525578137
sword,shown,sword sworn scorn shorn shown,0.0025227750525578137
eager,ender,eager eater ester enter ender,0.0025227750525578137
keels,yells,keels reels feels fells yells,0.0024877365101611776
paged,rates,paged raged rages rapes rates,0.0024526979677645415
arums,draws,arums drums drugs drags draws,0.0024176594253679053
fines,dives,fines lines tines dines dives,0.0024176594253679053
sewer,lived,sewer sever lever liver lived,0.0024176594253679053
seeks,keeps,seeks seeps jeeps veeps keeps,0.002417659425367905
fatal,decal,fatal fetal feral fecal decal,0.002382620882971269
sects,slate,sects seats spats spate slate,0.002382620882971269
doter,hoper,doter toter tower toper hoper,0.0023826208829712684
riced,fives,riced ricer river rives fives,0.0023826208829712684
winds,tires,winds wines dines tines tires,0.0023475823405746327
lived,niter,lived liven liver liter niter,0.0023475823405746327
spear,slept,spear swear sweat swept slept,0.0023475823405746327
roust,roast,roust roost boost boast roast,0.0023475823405746327
beaut,seats,beaut beaux beaus beats seats,0.002312543798177996
craps,chaos,craps crops chops choos chaos,0.002312543798177996
sowed,mowed,sowed rowed vowed towed mowed,0.002312543798177996
floor,cloud,floor flour flout clout cloud,0.0022775052557813596
jests,teats,jests zests tests tents teats,0.0022775052557813596
biked,bates,biked bikes biles bites bates,0.0022775052557813596
plaza,plate,plaza playa plays plats plate,0.002242466713384724
furry,jerry,furry ferry berry terry jerry,0.0022424667133847235
gloms,glebe,gloms glows globs globe glebe,0.0022074281709880874
tzars,reams,tzars tears sears seams reams,0.002207428170988087
frank,flush,frank flank flask flash flush,0.002207428170988087
chewy,chaos,chewy chews chaws chats chaos,0.002172389628591451
beeps,stets,beeps veeps seeps steps stets,0.0021373510861948147
testy,heals,testy tests teats teals heals,0.0021373510861948147
chaos,whops,chaos chaws chows chops whops,0.0021373510861948147
bucks,lulls,bucks bulks bulbs bulls lulls,0.0021373510861948143
verve,nerds,verve nerve nervy nerdy nerds,0.0021373510861948143
nerds,verve,nerds nerdy nervy nerve verve,0.0021373510861948143
codon,donor,codon colon color dolor donor,0.0021373510861948143
nerve,herds,nerve nervy nerdy nerds herds,0.0021373510861948143
molar,rural,molar molal moral mural rural,0.002102312543798178
vined,lined,vined pined fined dined lined,0.002102312543798178
tarry,happy,tarry tardy hardy harpy happy,0.002102312543798178
hippy,zappy,hippy happy nappy gappy zappy,0.002102312543798178
chasm,tense,chasm chase cease tease tense,0.002102312543798178
moral,auras,moral mural rural aural auras,0.002102312543798178
steep,sheer,steep sleep sweep sheep sheer,0.002102312543798178
soupy,gappy,soupy soppy hoppy happy gappy,0.002102312543798178
viral,divas,viral vital vitas vivas divas,0.002067274001401542
downs,moons,downs gowns towns toons moons,0.002067274001401542
gowns,moons,gowns downs towns toons moons,0.002067274001401542
dowdy,towns,dowdy downy downs gowns towns,0.002067274001401542
favor,paves,favor savor saver paver paves,0.0020672740014015417
squad,squib,squad squaw squat squab squib,0.0020322354590049056
marry,tarps,marry carry carpy carps tarps,0.0019971969166082694
doors,boons,doors dooms zooms booms boons,0.0019971969166082694
decoy,belay,decoy decry decay delay belay,0.001997196916608269
upset,islet,upset unset inset inlet islet,0.0019621583742116333
boobs,doers,boobs boons boors doors doers,0.0019621583742116333
drank,prank,drank frank flank plank prank,0.0019621583742116333
crank,prink,crank frank drank prank prink,0.0019621583742116333
marks,hacks,marks darks harks hanks hacks,0.0019621583742116333
boars,beads,boars boats blats beats beads,0.0019621583742116333
goats,bends,goats boats beats beads bends,0.0019621583742116333
gawks,ranks,gawks hawks hanks tanks ranks,0.001962158374211633
alums,drubs,alums arums drums drugs drubs,0.0019271198318149968
added,antis,added anded anted antes antis,0.0019271198318149968
oozes,doser,oozes dozes dozen dozer doser,0.0019271198318149968
sheen,sweep,sheen sheep steep sleep sweep,0.0019271198318149968
toast,feast,toast boast blast beast feast,0.0018920812894183607
tuxes,lines,tuxes muxes luxes lunes lines,0.0018920812894183605
kelpy,relay,kelpy kelly belly belay relay,0.0018920812894183605
norms,fills,norms forms firms films fills,0.0018920812894183605
grasp,drams,grasp grass grabs grams drams,0.0018920812894183605
crabs,frays,crabs grabs grass grays frays,0.00189208128941836
nixes,mired,nixes nixed fixed mixed mired,0.0018570427470217244
vapid,rarer,vapid rapid raped raper rarer,0.0018570427470217241
shelf,swill,shelf shell spell spill swill,0.0018570427470217241
viler,wiles,viler tiler tiles biles wiles,0.0018570427470217241
masks,salts,masks masts marts malts salts,0.0018570427470217241
edges,eager,edges edged egged egger eager,0.0018570427470217241
wicks,marks,wicks micks mucks murks marks,0.0018570427470217241
swive,sting,swive swipe swine swing sting,0.001822004204625088
solon,dolor,solon holon colon color dolor,0.0018220042046250876
piped,firer,piped pined fined finer firer,0.0017869656622284517
prise,tripe,prise price trice trike tripe,0.0017869656622284517
draft,crust,draft craft cruft cruet crust,0.0017869656622284513
blows,flows,blows blown clown flown flows,0.0017519271198318154
swift,shall,swift shift shaft shalt shall,0.0017519271198318154
edger,eager,edger edged egged egger eager,0.0017519271198318154
tries,trews,tries trees tress treks trews,0.0017168885774351788
trove,gripe,trove prove grove grope gripe,0.0017168885774351788
tarps,terns,tarps turps turfs turns terns,0.0017168885774351788
aside,amino,aside abide amide amine amino,0.0017168885774351788
mules,gulls,mules mulls culls bulls gulls,0.0017168885774351786
hired,mikes,hired hires fires mires mikes,0.001681850035038543
rifer,aides,rifer rider bider aider aides,0.0016818500350385425
flier,shier,flier slier skier spier shier,0.0016818500350385425
stake,shake,stake snake snaky shaky shake,0.0016818500350385425
shear,sleep,shear sheer sheep sweep sleep,0.0016818500350385425
lobby,bombs,lobby bobby booby boobs bombs,0.0016818500350385425
sayer,sawed,sayer sawer saver saved sawed,0.0016818500350385425
gamed,saved,gamed gazed lazed laved saved,0.0016818500350385425
risky,dusks,risky risks rusks tusks dusks,0.0016468114926419066
feast,blest,feast yeast beast blast blest,0.0016468114926419066
coned,cower,coned coney covey cover cower,0.0016468114926419062
kinks,lints,kinks links pinks pints lints,0.0016468114926419062
graft,grist,graft draft drift grift grist,0.0016468114926419062
pinko,links,pinko pinks winks oinks links,0.0016468114926419062
lints,minks,lints links kinks dinks minks,0.0016468114926419062
shell,dwell,shell smell spell swell dwell,0.0016468114926419062
tasty,haste,tasty taste waste baste haste,0.0016468114926419062
lined,liked,lined linen liken likes liked,0.0016468114926419062
punks,bonds,punks funks funds bunds bonds,0.00161177295024527
slept,sweep,slept sleet sheet sweet sweep,0.00161177295024527
meads,beamy,meads heads heady beady beamy,0.00161177295024527
giver,gives,giver diver dives fives gives,0.0015767344078486338
skulk,spell,skulk skull skill spill spell,0.0015767344078486335
tired,tires,tired hired hires vires tires,0.0015416958654519974
prexy,prove,prexy proxy prosy prose prove,0.0015416958654519974
shlep,sleet,shlep sheep sweep sleep sleet,0.0015416958654519974
tying,lying,tying hying eying vying lying,0.0015416958654519974
amigo,aside,amigo amino amine amide aside,0.0015416958654519972
trier,traps,trier tries trios trips traps,0.0015416958654519972
sites,tired,sites sires siren sired tired,0.001541695865451997
scads,seams,scads scats swats seats seams,0.0015066573230553613
plank,frank,plank blank clank flank frank,0.0015066573230553613
sheaf,speak,sheaf shear smear spear speak,0.0015066573230553613
boxer,caret,boxer borer barer carer caret,0.0015066573230553611
foxes,fared,foxes foxed faxed famed fared,0.0015066573230553611
toter,boxer,toter toyer toner boner boxer,0.0015066573230553611
laces,salts,laces lakes sakes sales salts,0.0015066573230553611
fluke,blare,fluke flume flame blame blare,0.0015066573230553611
robed,laved,robed roped loped loved laved,0.0015066573230553611
gripe,prove,gripe grape grope grove prove,0.0015066573230553611
lunch,bench,lunch hunch munch bunch bench,0.001506657323055361
rouge,souse,rouge route rouse douse souse,0.001471618780658725
gravy,graze,gravy grave brave braze graze,0.0014716187806587248
tetra,jerry,tetra terra terry merry jerry,0.0014716187806587248
cover,civet,cover comer comet covet civet,0.0014716187806587248
raids,tails,raids rails hails nails tails,0.0014716187806587248
seize,spiky,seize seine spine spike spiky,0.0014716187806587244
brads,brand,brads brags braes brans brand,0.0014365802382620887
coati,soars,coati coats boats boars soars,0.0014365802382620887
pends,funks,pends lends fends funds funks,0.0014365802382620885
fifes,dives,fifes fives gives jives dives,0.0014365802382620885
fated,lazes,fated famed fames lames lazes,0.0014365802382620885
