start,end,sequence,rank,hardness
speck,steam,speck speak sneak steak steam,0.009766188613646242,3
sabra,cable,sabra sabre sable table cable,0.009754019991308127,3
sabre,cable,sabre sable gable table cable,0.009754019991308127,2
sours,board,sours hours hoars hoard board,0.009623641894828335,3
chose,glove,chose close clone clove glove,0.009505432420686655,3
sweat,sheer,sweat sweet sleet sheet sheer,0.00938722294654498,3
heady,lends,heady heads beads leads lends,0.00938722294654498,3
later,tower,later laser loser lower tower,0.009362885701868754,3
lorry,words,lorry sorry worry wordy words,0.009362885701868752,3
scout,snort,scout shout shoat short snort,0.009244676227727075,2
yikes,tones,yikes tikes times tomes tones,0.009220338983050847,3
shove,shade,shove shave shape shake shade,0.009126466753585399,2
brain,grown,brain grain groin groan grown,0.009126466753585399,3
swept,smear,swept sweet sweat swear smear,0.009126466753585397,3
brook,bland,brook brood blood blond bland,0.009126466753585397,4
added,sizes,added aided sided sized sizes,0.008865710560625814,4
utter,often,utter otter outer outen often,0.008841373315949587,3
owing,wrong,owing oring bring wring wrong,0.00872316384180791,3
snoop,shore,snoop snoot snort short shore,0.008710995219469796,3
dream,break,dream cream creak freak break,0.008604954367666232,2
cheer,green,cheer cheek creek greek green,0.008592785745328119,3
noose,mouse,noose goose loose louse mouse,0.008592785745328119,2
prone,stoke,prone phone shone stone stoke,0.008474576271186442,3
bloke,grave,bloke broke brake brave grave,0.008462407648848327,4
broke,grave,broke brake braze brave grave,0.008462407648848327,3
atone,stole,atone stone stoke store stole,0.00834419817470665,2
glass,brags,glass grass brass brans brags,0.008201651455888744,3
whoop,chose,whoop whooo whoso whose chose,0.008189482833550631,3
wends,seems,wends weeds weeps seeps seems,0.008189482833550631,3
teems,reedy,teems seems seeds seedy reedy,0.00818948283355063,3
dents,teeth,dents vents tents tenth teeth,0.008083441981747066,3
mates,miles,mates mutes muxes mixes miles,0.008071273359408954,2
cover,comet,cover covey coves comes comet,0.008071273359408953,2
farce,forts,farce force forte forth forts,0.00805910473707084,3
bleak,cleft,bleak blear clear cleat cleft,0.007940895262929161,3
mince,witch,mince since wince winch witch,0.007928726640591046,3
roved,waved,roved moved loved laved waved,0.007810517166449371,2
shear,sleep,shear sheer sheep sweep sleep,0.0078105171664493685,3
grass,glare,grass glass glads glade glare,0.0078105171664493685,3
steel,sheer,steel steed steep steer sheer,0.007561929595827901,2
steep,sheer,steep steed steel steer sheer,0.007561929595827901,2
stair,stunk,stair staid stand stank stunk,0.007537592351151673,3
depth,seats,depth death heath heats seats,0.00753759235115167,3
shone,share,shone shove shave shape share,0.00743155149934811,2
diver,given,diver liver hiver giver given,0.007419382877009996,2
wrack,bleak,wrack wreck wreak break bleak,0.007301173402868318,4
offer,oaken,offer offen often oaten oaken,0.007276836158192091,3
works,forky,works porks corks forks forky,0.007264667535853975,2
north,toots,north forth forts torts toots,0.007146458061712299,3
marsh,latch,marsh march match patch latch,0.007040417209908735,3
freak,tread,freak wreak break bread tread,0.007040417209908734,2
chins,whips,chins chits chips ships whips,0.007028248587570622,2
conks,works,conks zonks monks wonks works,0.007003911342894395,2
cream,bread,cream creak wreak break bread,0.006910039113428944,2
steam,steep,steam steak steal steel steep,0.006910039113428942,2
gyves,liven,gyves gives giver given liven,0.006755323772272925,3
skein,stand,skein stein stain staid stand,0.006755323772272924,4
touts,frats,touts bouts boats brats frats,0.006743155149934813,3
balls,walks,balls calls halls walls walks,0.006649282920469362,2
moose,poise,moose loose noose noise poise,0.006649282920469362,2
stele,stone,stele stole stoke stove stone,0.006637114298131247,2
cause,trust,cause cruse crush crust trust,0.006506736201651456,3
clean,blest,clean clear cleat bleat blest,0.00649456757931334,3
blear,pleat,blear clear clean cleat pleat,0.00649456757931334,2
bruin,drain,bruin brain grain train drain,0.006376358105171666,2
cease,chary,cease chase chasm charm chary,0.006376358105171664,3
makes,cards,makes cakes cares carps cards,0.006376358105171663,3
break,dream,break bread bream cream dream,0.006376358105171663,2
joker,waken,joker toker token taken waken,0.006364189482833552,3
asker,acnes,asker asked acked acned acnes,0.006339852238157323,3
dears,leafs,dears hears heads leads leafs,0.0062459800086918735,2
hells,heaps,hells heels heeds heads heaps,0.0062459800086918735,2
snake,state,snake slake stake stage state,0.006245980008691872,2
fleet,sweat,fleet sleet slept swept sweat,0.006127770534550195,3
power,toyed,power tower towel towed toyed,0.006115601912212081,3
stagy,stone,stagy stogy story stony stone,0.006091264667535854,3
shame,slave,shame shade share shave slave,0.0059973924380704036,2
razed,baler,razed raked baked baker baler,0.005985223815732291,3
check,trick,check chuck chick thick trick,0.00598522381573229,3
franc,drunk,franc frank drank drink drunk,0.00598522381573229,3
prink,frank,prink drink drunk drank frank,0.00598522381573229,2
drain,frail,drain grain train trail frail,0.005867014341590614,2
spike,smith,spike spine spite smite smith,0.005867014341590613,3
bones,wings,bones tones tongs tings wings,0.005854845719252499,3
comet,domes,comet covet coves comes domes,0.005854845719252499,2
fifty,birth,fifty fifth firth girth birth,0.005854845719252499,3
skoal,shorn,skoal shoal shoat short shorn,0.0058426770969143855,3
stood,spoof,stood snood snook spook spoof,0.0058183398522381555,2
mixes,faxes,mixes mixed fixed fixes faxes,0.005724467622772707,2
spake,stage,spake slake slate state stage,0.005724467622772707,2
skate,style,skate state stare stale style,0.005724467622772706,3
mealy,means,mealy meaty meany meant means,0.005712299000434594,2
czars,terms,czars tzars tears teams terms,0.00570013037809648,4
clout,flood,clout flout flour floor flood,0.005594089526292916,3
flood,clout,flood floor flour flout clout,0.005594089526292916,3
tells,walls,tells bells balls falls walls,0.005475880052151239,2
force,worse,force forge gorge gorse worse,0.005463711429813125,2
cloud,floor,cloud clout flout flour floor,0.005463711429813125,3
crony,chose,crony crone clone close chose,0.005451542807475009,3
lurch,pitch,lurch lunch punch pinch pitch,0.005345501955671447,3
mails,toils,mails tails sails soils toils,0.005345501955671447,2
dense,leave,dense tense tease lease leave,0.005321164710995219,3
sheet,slept,sheet sweet skeet sleet slept,0.005202955236853542,2
grind,brass,grind grand brand brans brass,0.005202955236853542,4
grove,prise,grove drove prove prose prise,0.005202955236853542,3
moved,roses,moved moves roves ropes roses,0.0052029552368535415,3
clove,prone,clove close clone crone prone,0.005190786614515426,3
apace,share,apace space spade spare share,0.005072577140373751,3
girls,halls,girls gills gulls galls halls,0.0049543676662320724,3
needs,keeps,needs seeds deeds deeps keeps,0.0049543676662320724,2
herds,feeds,herds heeds weeds needs feeds,0.0049543676662320724,2
coach,touch,coach poach porch torch touch,0.004942199043893959,2
anded,tides,anded added aided aides tides,0.004942199043893959,3
knout,shoat,knout snout snort short shoat,0.004930030421555846,3
saith,spite,saith smith smite suite spite,0.0048239895697522826,2
casks,caper,casks cases cased caped caper,0.004811820947414168,3
shape,scale,shape share shade shale scale,0.004811820947414168,2
facto,parts,facto facts farts carts parts,0.004799652325076056,3
shock,dhows,shock shook shoos shows dhows,0.004799652325076053,3
snarl,stove,snarl snare stare stave stove,0.00469361147327249,4
spars,swank,spars spark shark shank swank,0.004693611473272489,3
harry,merry,harry carry tarry marry merry,0.004681442850934377,2
croak,dread,croak creak break bread dread,0.004681442850934375,3
pouch,torch,pouch vouch couch touch torch,0.004551064754454584,2
alone,crave,alone clone clove clave crave,0.004538896132116472,4
loner,rower,loner lower dower power rower,0.004526727509778358,2
tings,times,tings tines tikes tires times,0.004514558887440243,2
times,girts,times tires tiros giros girts,0.00451455888744024,3
prick,drank,prick prink drink drunk drank,0.0044206866579747945,3
share,spake,share spare space spate spake,0.004420686657974794,2
plaid,plans,plaid plain plait plant plans,0.004420686657974793,2
stork,spook,stork stock shock shook spook,0.00440851803563668,2
given,finer,given liven linen liner finer,0.0044085180356366795,3
whomp,whose,whomp whoop whooo whoso whose,0.004396349413298567,2
whooo,whorl,whooo whoso whose whore whorl,0.0043963494132985646,2
sword,scars,sword swore score scare scars,0.004302477183833116,3
links,films,links lines fines files films,0.004290308561495003,3
seeth,texts,seeth teeth tenth tents texts,0.004290308561495001,3
since,finch,since mince wince winch finch,0.004265971316818774,2
march,pitch,march larch latch patch pitch,0.004159930465015211,3
brawl,grown,brawl brawn brown frown grown,0.004159930465015211,3
brawn,crown,brawn brown blown clown crown,0.00415993046501521,2
frond,froth,frond front frost frosh froth,0.004135593220338985,2
braid,drawl,braid brain brawn drawn drawl,0.0040173837461973064,3
shoos,scout,shoos shook shoot scoot scout,0.003899174272055629,3
items,weeps,items stems steps seeps weeps,0.0038991742720556285,3
grasp,braes,grasp grass brass brats braes,0.0038991742720556285,3
wiles,soles,wiles miles moles holes soles,0.0038991742720556276,2
ripen,giver,ripen risen riven given giver,0.003887005649717515,3
fakir,naked,fakir faker baker baked naked,0.003887005649717515,3
snaps,skies,snaps snips ships shies skies,0.003887005649717514,3
smile,spake,smile stile stale stake spake,0.0037809647979139493,3
yoked,power,yoked toked poked poker power,0.0037687961755758373,3
award,stars,award sward swart start stars,0.0037566275532377224,3
haled,faces,haled paled paced faced faces,0.0036384180790960453,3
giant,craft,giant grant graft draft craft,0.0036384180790960453,3
dryad,tried,dryad dread tread triad tried,0.0034958713602781396,3
manly,sally,manly madly badly sadly sally,0.0033898305084745757,2
prate,brave,prate grate crate crave brave,0.0033898305084745757,2
match,bitch,match latch watch batch bitch,0.0033654932637983475,2
chips,shies,chips whips ships shims shies,0.0033654932637983475,2
track,crick,track wrack brack brick crick,0.003259452411994785,2
faith,suite,faith saith smith smite suite,0.003259452411994784,3
crank,blank,crank frank flank plank blank,0.003247283789656671,2
holds,means,holds molds melds meads means,0.0032351151673185572,4
riven,lites,riven given liven lives lites,0.0032229465449804436,3
court,mould,court count mount moult mould,0.00311690569317688,3
fakes,tarts,fakes faces facts farts tarts,0.003104737070838766,3
sharp,chart,sharp shard chard charm chart,0.003104737070838765,2
swamp,clump,swamp stamp stump slump clump,0.0029986962190352018,3
peace,henge,peace pence fence hence henge,0.0029865275966970894,3
henge,peace,henge hence fence pence peace,0.002986527596697089,3
skied,spent,skied spied speed spend spent,0.002986527596697088,4
sense,cease,sense dense tense tease cease,0.0029865275966970877,2
snood,chock,snood snook shook shock chock,0.0029743589743589753,4
frier,dried,frier trier tried fried dried,0.002974358974358974,2
clown,groin,clown crown grown groan groin,0.002856149500217297,3
pitch,porch,pitch patch parch perch porch,0.0028561495002172965,2
scent,swell,scent spent spelt spell swell,0.002856149500217296,3
death,seats,death neath heath heats seats,0.0028318122555410683,2
hated,fates,hated dated dates rates fates,0.0027379400260756194,2
build,quill,build built guilt quilt quill,0.0027379400260756194,2
stone,chine,stone shone shine whine chine,0.0027257714037375058,3
quiet,build,quiet quint quilt built build,0.0027257714037375058,3
creep,sweet,creep cheep sheep sweep sweet,0.0027257714037375053,3
prong,bring,prong wrong wrung brung bring,0.0027136027813993917,2
moves,cores,moves coves comes cotes cores,0.0027136027813993912,2
stand,flunk,stand stank stunk slunk flunk,0.002701434159061277,4
bread,blond,bread breed bleed blend blond,0.0026075619295958274,3
stoke,style,stoke stove stole stele style,0.0025953933072577137,2
react,bench,react reach beach belch bench,0.0025832246849196014,3
foxes,holes,foxes coxes comes homes holes,0.0025832246849195996,2
terms,perky,terms germs perms perks perky,0.002571056062581485,3
wheel,cheap,wheel wheal wheat cheat cheap,0.0024771838331160362,3
forks,holds,forks folks folds colds holds,0.0024771838331160362,3
crawl,grain,crawl brawl brawn brain grain,0.002465015210777923,3
chore,prone,chore shore shone phone prone,0.002465015210777923,3
bench,teach,bench beech beach peach teach,0.002465015210777923,2
grown,blowy,grown grows brows blows blowy,0.002465015210777923,3
stabs,stock,stabs stars stark stork stock,0.0024650152107779225,3
beaus,reads,beaus beads beady ready reads,0.0024528465884398097,2
wales,taxes,wales tales tames takes taxes,0.002334637114298132,2
crowd,frown,crowd crown clown flown frown,0.002334637114298132,2
trait,brand,trait train brain braid brand,0.0023224684919600186,3
feces,pants,feces faces facts pacts pants,0.002322468491960018,4
linen,fives,linen liner lines lives fives,0.002322468491960018,3
waded,paved,waded waked waned waved paved,0.002216427640156454,2
roots,moors,roots roofs roods moods moors,0.0022164276401564534,2
cleat,wheel,cleat cheat wheat wheal wheel,0.0022164276401564534,4
pairs,sails,pairs pails tails jails sails,0.0022042590178183398,2
chick,smock,chick check chock shock smock,0.0022042590178183398,3
sworn,sware,sworn shorn shore swore sware,0.0022042590178183398,2
preen,breed,preen green greed freed breed,0.0021920903954802265,2
briny,swing,briny bring oring owing swing,0.002192090395480226,3
beard,roars,beard board boars soars roars,0.0021920903954802257,3
comer,yokes,comer comes cones cokes yokes,0.0021920903954802257,3
gazed,fated,gazed gamed named famed fated,0.002073880921338549,2
sneak,steel,sneak steak stead steal steel,0.002073880921338548,3
heats,reaps,heats heads leads leaps reaps,0.002061712299000436,2
fixed,mixes,fixed nixed mixed mixer mixes,0.0020617122990004345,2
state,prats,state slate plate plats prats,0.002061712299000433,3
stogy,stoae,stogy stony story store stoae,0.00204954367666232,2
pence,wedge,pence hence henge hedge wedge,0.0019435028248587574,3
ports,foams,ports sorts forts forms foams,0.0019435028248587568,3
dyads,hears,dyads deads reads heads hears,0.0019313342025206437,3
oaken,offen,oaken oaten outen often offen,0.0019191655801825296,2
plash,flack,plash blash flash flask flack,0.0019191655801825296,3
mated,rates,mated mates gates fates rates,0.0018131247283789662,2
sleet,steer,sleet skeet sheet sheer steer,0.0018131247283789654,2
plate,prank,plate plane plans plank prank,0.0018131247283789654,3
decks,cocks,decks docks rocks jocks cocks,0.0018131247283789654,2
broad,croon,broad brood brook crook croon,0.001800956106040852,3
parse,crush,parse pause cause cruse crush,0.0018009561060408515,4
showy,scorn,showy shown shorn sworn scorn,0.0016827466318991749,3
moods,rooty,moods roods rooms roomy rooty,0.0016827466318991749,3
spurt,spire,spurt spurs spars spare spire,0.0016827466318991746,2
brand,groin,brand braid brain grain groin,0.0016827466318991746,4
cheep,sheet,cheep cheek cheer sheer sheet,0.0016827466318991742,2
spare,slang,spare spars spans spang slang,0.0016827466318991742,3
boast,roost,boast toast coast roast roost,0.0016827466318991735,2
toast,roost,toast coast boast roast roost,0.0016827466318991735,2
chase,chars,chase chasm charm chary chars,0.0016705780095610605,2
trunk,swank,trunk thunk thank shank swank,0.0015523685354193826,3
sheaf,smell,sheaf shelf shell swell smell,0.0015523685354193826,3
pease,chasm,pease lease cease chase chasm,0.0015401999130812694,3
peels,leaps,peels peals peaks leaks leaps,0.0014341590612777053,3
flesh,plush,flesh flash flush slush plush,0.0014219904389395914,2
coven,likes,coven coves loves lives likes,0.0014219904389395914,4
hairy,sails,hairy hairs hails bails sails,0.001421990438939591,3
style,stark,style stole store stork stark,0.001421990438939591,3
gauge,mouse,gauge gouge rouge rouse mouse,0.001421990438939591,3
smart,sware,smart start swart sward sware,0.0014098218166014767,2
often,paves,often oaten paten pates paves,0.0013976531942633639,4
drown,prows,drown grown growl prowl prows,0.0012916123424598007,2
prawn,drown,prawn brawn brown frown drown,0.0012916123424597998,2
fifth,wists,fifth fifty fisty fists wists,0.0012794437201216861,3
heavy,beaks,heavy heady beady beaky beaks,0.0012794437201216857,3
start,swarm,start swart sward swarf swarm,0.0012794437201216857,2
bides,sires,bides hides rides sides sires,0.0011612342459800086,2
stoae,sword,stoae store swore sworn sword,0.0011612342459800082,3
stung,fling,stung slung sling cling fling,0.0010430247718383311,3
sides,wires,sides sites sines sires wires,0.0010308561495002175,2
touch,roach,touch torch porch poach roach,0.001018687527162103,2
stave,stets,stave stale state stats stets,0.001018687527162103,3
plein,stein,plein plain slain stain stein,0.001018687527162103,2
mourn,sours,mourn yourn yours hours sours,0.0010065189048239893,2
blown,grown,blown clown flown frown grown,0.0009004780530204263,2
snark,soars,snark spark spars stars soars,0.000900478053020426,2
click,trick,click clack crack track trick,0.0009004780530204256,2
couch,pooch,couch touch vouch pouch pooch,0.0008883094306823116,2
molar,power,molar solar polar poler power,0.0008883094306823116,3
recap,woman,recap remap reman roman woman,0.0008761408083441987,4
seeds,weeps,seeds heeds deeds deeps weeps,0.0007822685788787482,2
stash,flesh,stash smash slash flash flesh,0.0007700999565406344,3
dreck,truck,dreck wreck wrack track truck,0.0007700999565406344,2
hills,vires,hills mills miles mires vires,0.0007579313342025204,3
torah,couch,torah torch touch vouch couch,0.0007579313342025204,3
piker,manes,piker pikes mikes makes manes,0.0007579313342025204,4
catch,march,catch latch larch parch march,0.0007579313342025204,2
razes,mikes,razes gazes mazes makes mikes,0.0007579313342025204,3
teeny,seeps,teeny teens teems seems seeps,0.0007335940895262939,3
funny,jenny,funny sunny punny penny jenny,0.0006397218600608429,2
wring,prone,wring wrung wrong prong prone,0.0006397218600608427,3
scorn,scone,scorn sworn swore score scone,0.0006397218600608427,2
spelt,shell,spelt smelt smell spell shell,0.0006397218600608425,2
trail,drawn,trail trawl crawl drawl drawn,0.0006275532377227292,3
waken,manes,waken waker maker makes manes,0.0006275532377227292,3
aimer,anded,aimer aimed aided added anded,0.0006275532377227292,3
blink,stung,blink slink sling sting stung,0.0005215123859191656,4
